enzyme	alpha_subunits	accession	sp_query	filtered#	unfiltered#	ncbi_ref	sp_ref	sp_ref#
Ethylbenzene_dioxygenase	ebdA1	BAC92718.1	analyses/sp_query/Ethylbenzene_dioxygenase.filtered	1	1	analyses/blast_outputs/separated_fasta/BAC92718.1_Rhodococcus_jostii_RHA1.fa	analyses/blast_outputs/separated_hits/merged/BAC92718.1_Rhodococcus_jostii_RHA1.fa	38
Ethylbenzene_dehydrogenase	ebdA	CAI07432	analyses/sp_query/Ethylbenzene_dehydrogenase.filtered	3	3	analyses/blast_outputs/separated_fasta/CAI07432.1_Aromatoleum_aromaticum_EbN1.fa	analyses/blast_outputs/separated_hits/merged/CAI07432.1_Aromatoleum_aromaticum_EbN1.fa	50
Styrene_monooxygenase	styA	ABB03727.1	analyses/sp_query/Styrene_monooxygenase.filtered	82	85	analyses/blast_outputs/separated_fasta/ABB03727.1_Pseudomonas_putida.fa	analyses/blast_outputs/separated_hits/merged/ABB03727.1_Pseudomonas_putid.fa	2
Naphthalene_dioxygenase(nahAc)	nahAc	AAP44288	analyses/sp_query/Naphthalene_dioxygenase(nahAc).filtered	6	100	analyses/blast_outputs/separated_fasta/AAP44288.1_Pseudomonas_putida_ND6.fa	analyses/blast_outputs/separated_hits/merged/AAP44288.1_Pseudomonas_putida_ND6.fa	38
Naphthalene_dioxygenase(narAa)	narAa	ADM94827.1	analyses/sp_query/Naphthalene_dioxygenase(narAa).filtered	12	19	analyses/blast_outputs/separated_fasta/ADM94827.1_Rhodococcus_sp._B2-1.fa	analyses/blast_outputs/separated_hits/merged/ADM94827.1_Rhodococcus_sp._B2-1.fa	38
Biphenyl_2_3-dioxygenase	bphA1	ABE37059	analyses/sp_query/Biphenyl_2_3-dioxygenase.filtered	66	100	analyses/blast_outputs/separated_fasta/ABE37059.1_Paraburkholderia_xenovorans_LB400.fa	analyses/blast_outputs/separated_hits/merged/ABE37059.1_Paraburkholderia_xenovorans_LB400.fa	37
Dibenzofuran_dioxygenase	dbfA1	ALS21084	analyses/sp_query/Dibenzofuran_dioxygenase.filtered	5	10	analyses/blast_outputs/separated_fasta/ALS21084.1_Paenibacillus_naphthalenovorans.fa	analyses/blast_outputs/separated_hits/merged/ALS21084.1_Paenibacillus_naphthalenovorans.fa	39
PAH_dioxygenase_c	ahdA1c	AGZ63455.1	analyses/sp_query/PAH_dioxygenase_c.filtered	4	4	analyses/blast_outputs/separated_fasta/AGZ63455.1_Sphingobium_sp._PNB.fa	analyses/blast_outputs/separated_hits/merged/AGZ63455.1_Sphingobium_sp._PNB.fa	38
PAH_dioxygenase_d	ahdA1d	AGZ63462.1	analyses/sp_query/PAH_dioxygenase_d.filtered	2	2	analyses/blast_outputs/separated_fasta/AGZ63462.1_Sphingobium_sp._PNB.fa	analyses/blast_outputs/separated_hits/merged/AGZ63462.1_Sphingobium_sp._PNB.fa	37
PAH_dioxygenase_a	ahdA1a	BAC65448.1	analyses/sp_query/PAH_dioxygenase_a.filtered	1	1	analyses/blast_outputs/separated_fasta/BAC65448.1_Sphingomonas_sp._P2.fa	analyses/blast_outputs/separated_hits/merged/BAC65448.1_Sphingomonas_sp._P2.fa	37
PAH_dioxygenase_b	ahdA1b	BAC65446.1	analyses/sp_query/PAH_dioxygenase_b.filtered	2	2	analyses/blast_outputs/separated_fasta/BAC65446.1_Sphingomonas_sp._P2.fa	analyses/blast_outputs/separated_hits/merged/BAC65446.1_Sphingomonas_sp._P2.fa	37
PAH_dioxygenase_f	ahdA1f	AGZ63449.1	analyses/sp_query/PAH_dioxygenase_f.filtered	1	1	analyses/blast_outputs/separated_fasta/AGZ63449.1_Sphingobium_sp._PNB.fa	analyses/blast_outputs/separated_hits/merged/AGZ63449.1_Sphingobium_sp._PNB.fa	38
