UniProt	Cdd	Ko	Pfam
tr_Q83VJ5_Q83VJ5_9SPHN_Putative_oxygenase_component_of_xylene_monooxygenase_OS=Sphingomonas_sp._P2_OX=208080_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_R4ITU3_R4ITU3_9PSED_XylM_OS=Pseudomonas_migulae_OX=78543_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_T1VY96_T1VY96_PSEPU_Xylene_monooxygenase_hydroxylase_subunit_OS=Pseudomonas_putida_OX=303_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_U5XKU0_U5XKU0_9SPHN_XylM_OS=Sphingobium_sp._PNB_OX=863934_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_A0A0D6DWJ9_A0A0D6DWJ9_9LACT_Type-1_mutarotase_OS=Lactococcus_piscium_MKFS47_OX=297352_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_A0A1W6VS93_A0A1W6VS93_GEOTD_Aldose_1-epimerase_OS=Geobacillus_thermodenitrificans_OX=33940_GN=xylM_PE=3_SV=1	-	K01785	PF01263.21
tr_A0A231VMA9_A0A231VMA9_THETR_Xylose_isomerase_OS=Thermoanaerobacterium_thermosaccharolyticum_OX=1517_GN=xylA_PE=3_SV=1	-	K01805	PF01261.25
tr_A0A286LNP2_A0A286LNP2_9MICO_Beta-xylanase_OS=Luteimicrobium_xylanilyticum_OX=1133546_GN=xylM_PE=3_SV=1	-	K01181	PF00331.21
tr_A0A291I5P1_A0A291I5P1_GEOTD_Aldose_1-epimerase_OS=Geobacillus_thermodenitrificans_OX=33940_GN=xylM_PE=3_SV=1	-	K01785	PF01263.21
tr_A0A4U9C148_A0A4U9C148_STRPY_4-oxalocrotonate_tautomerase_OS=Streptococcus_pyogenes_OX=1314_GN=xylH_PE=3_SV=1	-	K01821	PF01361.22
tr_A0A6A0BE11_A0A6A0BE11_9LACT_Type-1_mutarotase_OS=Lactococcus_sp._Hs30E4-3_OX=2709157_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_A0A6C2WMV3_A0A6C2WMV3_STRPY_4-oxalocrotonate_tautomerase_OS=Streptococcus_pyogenes_OX=1314_GN=xylM_PE=3_SV=1	-	K01821	PF01361.22
tr_A9QSS4_A9QSS4_LACLK_Aldose-1-epimerase_OS=Lactococcus_lactis_subsp._lactis__strain_KF147__OX=684738_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_H5T010_H5T010_LACLL_Aldose_1-epimerase_OS=Lactococcus_lactis_subsp._lactis_IO-1_OX=1046624_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_K4MT18_K4MT18_9BURK_Xylene-monooxygenase_hydroxylase_subunit__Fragment__OS=Paraburkholderia_kururiensis_OX=984307_GN=xylM_PE=4_SV=1	-	-	-
tr_K4MTG6_K4MTG6_9RALS_Xylene-monooxygenase_hydroxylase_subunit__Fragment__OS=Ralstonia_insidiosa_OX=190721_GN=xylM_PE=4_SV=1	-	-	-
tr_Q09LZ2_Q09LZ2_GEOSE_Aldose_1-epimerase_OS=Geobacillus_stearothermophilus_OX=1422_GN=xylM_PE=3_SV=1	-	K01785	PF01263.21
tr_Q46152_Q46152_9GAMM_Membrane_protein_OS=Cycloclasticus_oligotrophus_OX=46457_GN=XYLM_PE=4_SV=1	-	-	PF06139.13
tr_Q9CFG9_Q9CFG9_LACLA_Aldose_1-epimerase_OS=Lactococcus_lactis_subsp._lactis__strain_IL1403__OX=272623_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_Q9X417_Q9X417_LACLL_Mutarotase_OS=Lactococcus_lactis_subsp._lactis_OX=1360_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_Q9X420_Q9X420_LACLL_Mutarotase_OS=Lactococcus_lactis_subsp._lactis_OX=1360_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_Q9X424_Q9X424_LACLL_Mutarotase_OS=Lactococcus_lactis_subsp._lactis_OX=1360_GN=xylM_PE=4_SV=1	-	K01785	PF01263.21
tr_R4Z9A2_R4Z9A2_STRAG_4-oxalocrotonate_tautomerase_OS=Streptococcus_agalactiae_OX=1311_GN=xylH_PE=3_SV=1	-	K01821	PF01361.22
