UniProt	Cdd	Ko	Pfam
tr_G9G7I5_G9G7I5_9PSED_Napthalene_dioxygenase_iron_sulfur_protein_large_subunit_OS=Pseudomonas_sp._MC1_OX=1123041_GN=nahAc_PE=3_SV=1	CDD:239550	K14579	PF00355.27
tr_I0KHQ3_I0KHQ3_9PSED_Naphthalene_dioxygenase__Fragment__OS=Pseudomonas_monteilii_OX=76759_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00355.27
tr_I0KHQ4_I0KHQ4_9PSED_Naphthalene_dioxygenase__Fragment__OS=Pseudomonas_xanthomarina_OX=271420_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00355.27
tr_J7HGR7_J7HGR7_PSEPU_Naphthalene_dioxygenase__Fragment__OS=Pseudomonas_putida_OX=303_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00355.27
tr_Q05K20_Q05K20_9ZZZZ_Naphthalene_1_2-dioxygenase_iron_sulfer_protein_large_subunit_OS=Plasmid_pFKY4_OX=381744_GN=nahAc_PE=3_SV=1	CDD:239550	K14579	PF00355.27
tr_Q05K30_Q05K30_9ZZZZ_Naphthalene_1_2-dioxygenase_iron_sulfer_protein_large_subunit_OS=Plasmid_pFKY1_OX=381743_GN=nahAc_PE=3_SV=1	CDD:239550	K14579	PF00355.27
tr_Q0KK81_Q0KK81_9BACT_Naphthalenne_1_2-dioxygenase_iron_sulfur_protein_large_subunit_OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=3_SV=1	CDD:239550	K14579	PF00355.27
tr_Q1XGM0_Q1XGM0_PSEPU_Iron_sulfur_protein_large_subunit_NahAc_of_napthalene_dioxygenase_OS=Pseudomonas_putida_OX=303_GN=nahAc_PE=3_SV=1	CDD:239550	K14579	PF00355.27
tr_Q6T6J2_Q6T6J2_PSEFL_Naphthalene_dioxygenase_large_subunit__Fragment__OS=Pseudomonas_fluorescens_OX=294_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00355.27
tr_Q6T6J3_Q6T6J3_PSEFL_Naphthalene_dioxygenase_large_subunit__Fragment__OS=Pseudomonas_fluorescens_OX=294_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00355.27
tr_C0J0Z1_C0J0Z1_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J0Z7_C0J0Z7_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J0Z8_C0J0Z8_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J104_C0J104_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J105_C0J105_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J106_C0J106_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J111_C0J111_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J112_C0J112_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J114_C0J114_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J115_C0J115_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J116_C0J116_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J118_C0J118_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J125_C0J125_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J127_C0J127_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J128_C0J128_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J131_C0J131_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J132_C0J132_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J134_C0J134_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J135_C0J135_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J137_C0J137_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J138_C0J138_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J139_C0J139_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J140_C0J140_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J141_C0J141_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J142_C0J142_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J143_C0J143_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J144_C0J144_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J145_C0J145_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J147_C0J147_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J151_C0J151_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J152_C0J152_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J155_C0J155_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J161_C0J161_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J162_C0J162_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J164_C0J164_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J166_C0J166_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J167_C0J167_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J168_C0J168_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_C0J169_C0J169_9BACT_Naphthalene_dioxygenase_alpha_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_D0EWJ2_D0EWJ2_9PSED_Naphthalene_1_2-dioxygenase_iron_sulfur_protein__Fragment__OS=Pseudomonas_sp._CZ2_OX=679661_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_D0EWJ4_D0EWJ4_9PSED_Naphthalene_1_2-dioxygenase_iron_sulfur_protein__Fragment__OS=Pseudomonas_sp._CZ5_OX=679662_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_D5G1Z6_D5G1Z6_9PSED_Iron-sulfur_protein_alpha_subunit__Fragment__OS=uncultured_Pseudomonas_sp_OX=114707_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_D5LJP1_D5LJP1_9ENTR_Dioxygenase_alpha_subunit__Fragment__OS=Raoultella_sp._E08_OX=747605_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_D5LJP2_D5LJP2_9PSED_Dioxygenase_alpha_subunit__Fragment__OS=Pseudomonas_sp._F08_OX=747604_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_E5L947_E5L947_9STAP_NahAc__Fragment__OS=Staphylococcus_sp._KW-07_OX=882518_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_E5LBK0_E5LBK0_9PSED_NahAc_protein__Fragment__OS=Pseudomonas_sp._CH-11_OX=882517_GN=nahAc_PE=3_SV=1	-	-	PF00848.20
tr_F2YMM2_F2YMM2_9GAMM_Naphthalene_1_2-dioxygenase_large_subunit__Fragment__OS=uncultured_Cycloclasticus_sp_OX=172194_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_F2YMM3_F2YMM3_ALTNA_Naphthalene_1_2-dioxygenase_large_subunit__Fragment__OS=Alteromonas_naphthalenivorans_OX=715451_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_I3WCN0_I3WCN0_9PSED_Naphthalene_dioxygenase_reductase__Fragment__OS=uncultured_Pseudomonas_sp_OX=114707_GN=nahAc_PE=4_SV=1	-	-	-
tr_I3WCN1_I3WCN1_9PSED_Naphthalene_dioxygenase_reductase__Fragment__OS=uncultured_Pseudomonas_sp_OX=114707_GN=nahAc_PE=4_SV=1	-	-	-
tr_I3WCN2_I3WCN2_9PSED_Naphthalene_dioxygenase_reductase__Fragment__OS=uncultured_Pseudomonas_sp_OX=114707_GN=nahAc_PE=4_SV=1	-	-	-
tr_I3WCN3_I3WCN3_9PSED_Naphthalene_dioxygenase_reductase__Fragment__OS=uncultured_Pseudomonas_sp_OX=114707_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_I3WCN4_I3WCN4_9PSED_Naphthalene_dioxygenase_reductase__Fragment__OS=uncultured_Pseudomonas_sp_OX=114707_GN=nahAc_PE=4_SV=1	-	-	-
tr_I3WCN5_I3WCN5_9RALS_Naphthalene_dioxygenase_reductase__Fragment__OS=uncultured_Ralstonia_sp_OX=114715_GN=nahAc_PE=4_SV=1	-	-	-
tr_O68663_O68663_9GAMM_Naphthalene_dioxygenase_iron_sulfur_protein__Fragment__OS=Neptunomonas_naphthovorans_OX=75688_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_O68664_O68664_9GAMM_Naphthalene_dioxygenase_iron_sulfur_protein__Fragment__OS=Neptunomonas_naphthovorans_OX=75688_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
tr_O68665_O68665_9GAMM_Naphthalene_dioxygenase_iron_sulfur_protein__Fragment__OS=Cycloclasticus_sp._P-1P32_OX=155752_GN=nahAc_PE=4_SV=1	-	-	PF00848.20
