Cdd	UniProt	Ko	Pfam
-	tr_A0A1C3YNI7_A0A1C3YNI7_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNI9_A0A1C3YNI9_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNJ0_A0A1C3YNJ0_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNJ1_A0A1C3YNJ1_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNJ2_A0A1C3YNJ2_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNJ3_A0A1C3YNJ3_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNK4_A0A1C3YNK4_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNL3_A0A1C3YNL3_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNM8_A0A1C3YNM8_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	-
-	tr_A0A1C3YNN6_A0A1C3YNN6_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1D8I5V9_A0A1D8I5V9_9BURK_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=Achromobacter_ruhlandii_OX=72557_GN=pheA1_PE=4_SV=1	K14170	PF01817.22
-	tr_A0A1P8F4Y1_A0A1P8F4Y1_9CHLR_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=Dehalogenimonas_formicexedens_OX=1839801_GN=pheA1_PE=4_SV=1	K14170	PF01817.22
-	tr_A0A1Z1W4J5_A0A1Z1W4J5_9ACTN_Chorismate_mutase_OS=Streptomyces_alboflavus_OX=67267_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_A0A1Z1WHA7_A0A1Z1WHA7_9ACTN_Chorismate_mutase_OS=Streptomyces_alboflavus_OX=67267_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_A0A1Z2L2C6_A0A1Z2L2C6_9ACTN_Chorismate_mutase_OS=Streptomyces_albireticuli_OX=1940_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_A0A2D2A4L8_A0A2D2A4L8_9NOCA_Chorismate_mutase_OS=Rhodococcus_ruber_OX=1830_GN=pheA1_PE=4_SV=1	-	PF01817.22
-	tr_A0A410RR89_A0A410RR89_CORCK_Prephenate_dehydratase_OS=Corallococcus_coralloides_OX=184914_GN=pheA1_PE=4_SV=1	K04518	PF00800.19
-	tr_A0A5C1EBH3_A0A5C1EBH3_9RHOO_Chorismate_mutase_OS=Oryzomicrobium_terrae_OX=1735038_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_A0A5Q0UEJ5_A0A5Q0UEJ5_9ARCH_Chorismate_mutase_OS=DPANN_group_archaeon_LC1Nh_OX=2565781_GN=pheA1_PE=4_SV=1	-	PF01817.22
-	tr_A0A5Q0UN06_A0A5Q0UN06_9EURY_Chorismate_mutase_OS=Halomicrobium_sp._LC1Hm_OX=2610902_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_A0A649YLQ6_A0A649YLQ6_9VIBR_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=Vibrio_sp._THAF191d_OX=2661922_GN=pheA1_PE=4_SV=1	K14170	PF01817.22
-	tr_A0A6B8N779_A0A6B8N779_9VIBR_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=Vibrio_sp._THAF191c_OX=2661921_GN=pheA1_PE=4_SV=1	K14170	PF01817.22
-	tr_A7LCL0_A7LCL0_RHOER_PheA1_OS=Rhodococcus_erythropolis_OX=1833_GN=pheA1_PE=4_SV=1	K00483	PF11794.9
-	tr_A8LMC1_A8LMC1_DINSH_Chorismate_mutase_OS=Dinoroseobacter_shibae__strain_DSM_16493___NCIMB_14021___DFL_12__OX=398580_GN=pheA1_PE=4_SV=1	K04092	PF01817.22
-	tr_A9FIZ9_A9FIZ9_SORC5_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=Sorangium_cellulosum__strain_So_ce56__OX=448385_GN=pheA1_PE=4_SV=1	-	PF01817.22
-	tr_D3NZU3_D3NZU3_AZOS1_Chorismate_mutase_OS=Azospirillum_sp.__strain_B510__OX=137722_GN=pheA_PE=4_SV=1	-	PF01817.22
-	tr_D8GM34_D8GM34_CLOLD_Prephenate_dehydratase_OS=Clostridium_ljungdahlii__strain_ATCC_55383___DSM_13528___PETC__OX=748727_GN=pheA1_PE=4_SV=1	-	PF00800.19
-	tr_G0HQL8_G0HQL8_HALHT_Chorismate_mutase_OS=Haloarcula_hispanica__strain_ATCC_33960___DSM_4426___JCM_8911___NBRC_102182___NCIMB_2187___VKM_B-1755__OX=634497_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_G2J4Q3_G2J4Q3_PSEUL_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=Pseudogulbenkiania_sp.__strain_NH8B__OX=748280_GN=pheA1_PE=4_SV=1	K14170	PF01817.22
-	tr_H6LB96_H6LB96_ACEWD_Prephenate_dehydratase_OS=Acetobacterium_woodii__strain_ATCC_29683___DSM_1030___JCM_2381___KCTC_1655___WB1__OX=931626_GN=pheA1_PE=4_SV=1	K04518	PF00800.19
-	tr_H8N089_H8N089_CORCM_Prephenate_dehydratase_OS=Corallococcus_coralloides__strain_ATCC_25202___DSM_2259___NBRC_100086___M2__OX=1144275_GN=pheA1_PE=4_SV=1	K04518	PF00800.19
-	tr_I3R4F0_I3R4F0_HALMT_Chorismate_mutase_OS=Haloferax_mediterranei__strain_ATCC_33500___DSM_1411___JCM_8866___NBRC_14739___NCIMB_2177___R-4__OX=523841_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_Q0SDR7_Q0SDR7_RHOJR_Phenol_hydroxylase__oxygenase_component_OS=Rhodococcus_jostii__strain_RHA1__OX=101510_GN=pheA1_PE=4_SV=1	K00483	PF11794.9
-	tr_Q45413_Q45413_GEOSE_Phenol_hydroxylase_OS=Geobacillus_stearothermophilus_OX=1422_GN=pheA_PE=3_SV=1	-	PF02771.17
-	tr_Q4VY44_Q4VY44_RHOER_4-nitrophenol_2-monooxygenase__oxygenase_component_OS=Rhodococcus_erythropolis_OX=1833_GN=pheA1_PE=4_SV=1	K00483	PF11794.9
-	tr_Q974C6_Q974C6_SULTO_Putative_phenol_hydroxylase_large_component_OS=Sulfurisphaera_tokodaii__strain_DSM_16993___JCM_10545___NBRC_100140___7__OX=273063_GN=pheA1_PE=4_SV=1	K00483	PF11794.9
-	tr_Q9LAG3_Q9LAG3_PARTM_Phenol_2-hydroxylase_component_A_OS=Parageobacillus_thermoglucosidasius_OX=1426_GN=pheA1_PE=4_SV=1	K00483	PF11794.9
-	tr_S6CFU2_S6CFU2_9GAMM_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=endosymbiont_of_unidentified_scaly_snail_isolate_Monju_OX=1248727_GN=pheA1_PE=4_SV=1	K14170	PF01817.22
